capture_id,width
0054ad70-8564-45bc-82ba-6df9973a7590,149
0c64d5b1-3ae0-4235-adbd-d9611c40a69f,37
13075d4c-01df-47d0-8f6b-45122d468ac3,17
21a0dc86-38f7-45c7-b700-b7d6d0a63388,91
225e95f5-cee9-4b7b-8614-8a933d8b50b0,151
26877aa6-4f06-4f25-b869-00fcbfb564e9,53
32951c2e-acfb-4e95-962c-ab4ac71c6330,32
32bb0ac4-7d54-4c8b-b698-891a647063ae,13
33a7200c-7ff3-4e3f-baec-b405e01bdd3e,69
3611823d-ab24-4d95-9904-5a8eece1e583,170
454495fa-a85e-4f0c-8883-7d14481163cf,139
4a767f39-d7a0-48c6-ad5f-800934366080,87
4dc0cd19-9c50-4e11-92ce-fd64d40bc067,28
4e99518f-a352-4227-863f-c398ee1f918b,13
59f95bd1-18d2-4ef2-b961-d051ac3ec19d,64
606cfc19-2b2b-48b3-a393-3e8f4a17a034,26
634b5a95-930b-4121-9160-168ececafc76,73
64235603-cafa-44e3-8872-bbc5ea7f3559,162
67011764-d670-4747-9ab4-b37a0048f676,45
715144c9-30a8-4c6e-bdf4-536cab5a0643,89
72282c1a-72e4-4cd3-a201-ad4938aa3043,66
780ae9b1-c754-4995-9879-694d3b0c43e9,147
80328e11-2c1d-4c86-9050-154d4156b9fa,39
879f3c23-e6fd-4891-9de3-8b91953a0144,148
8c723465-a7d2-4796-8fd2-2f4da959ead9,8
8d7cece2-d8c8-4ef1-8156-d942104377a3,32
8f92f431-ae3d-4e1b-aa98-7e2d4591764f,112
8f96b84b-7781-4144-9164-09176aab694e,52
91a9f412-cc1b-4e61-b23c-3b09f67d5033,145
9890f6e4-3c66-488c-aedb-6432aaa0ed54,122
9c15aee8-17ae-4fec-9adb-d3a2c7a1a9e2,37
a2c64407-6a1a-472f-a05c-8cc69a9cff86,7
a64b5b52-adca-4d7a-ab53-0b7bae225d53,176
a6b7867c-bf5d-4b2d-ad6f-95b8bc528ce5,41
a9d05f50-fcea-4453-ad32-8cf11b1d3f4d,101
ab9a7d81-3e92-452f-b34f-eaebb6350e05,45
b2dabeca-c546-4806-9357-91c54e9f6b94,18
b673c38b-cd56-4e8d-8303-679632689722,79
b971e3b6-22b3-445e-a0eb-5cd0c1d55847,169
ba008479-079a-47a1-9c4f-aa9ea75fa25b,74
c512b392-f538-4712-9249-0db16d971134,17
cb067dc4-feb4-488e-a474-626f8f4ab15e,81
d184b7b9-bd79-456e-8dfe-7e84c6c56e3c,74
dc0d57f8-d89e-4b25-a6a7-b684feba0c4d,161
de36152b-1157-4a5a-85ea-a61f3fc396ce,168
e2cdd8d1-3329-4650-8e3a-3fcbd51ee842,93
e2d9b668-7935-457b-ac22-136cea48c48e,199
e68769a6-29dc-4616-9ef2-3415d1089145,81
e8ab8009-793d-43e4-bb24-0c8c9c42e816,147
ec4beb67-7e94-4422-8e83-cd7e1aab415a,150
ed233faa-fb05-4230-b29a-3ebf01c38d4c,33
ed9f4dd0-c910-41ce-b8af-b7dfb081e235,126
f23c1646-acf7-4356-9794-64c04f0185f4,123
fa005427-f67a-428a-9160-4d0643c673df,8
fc74c570-e501-4d84-ab1f-a66d7017fff1,17
